"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","AD","CBO","CBOI","CC","CCL","CCO","CD","CI","CLC","CLLC","CLOC","DIT","DLOC","LCOM5","LDC","LLDC","LLOC","LOC","NA","NG","NII","NL","NLA","NLE","NLG","NLM","NLPA","NLPM","NLS","NM","NOA","NOC","NOD","NOI","NOP","NOS","NPA","NPM","NS","PDA","PUA","RFC","TCD","TCLOC","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WMC","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Clone Metric Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Documentation Metric Rules","Inheritance Metric Rules","Size Metric Rules"
"L148","FormAbout","MarioMaker2OCR.FormAbout","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormAbout.cs","13","5","30","6","0","0","0","0","0","0","0","0","0","0","29","0","8","4","0","0","115","157","0","0","0","0","0","0","0","5","0","1","0","5","0","0","0","0","0","83","0","1","0","0","2","5","0","29","115","157","0","0","0","0","5","0","1","0","5","83","0","1","0","7","0","0","4","0","0","1","0","1","0","0","1","0","2"
"L450","FormJsonSettings","MarioMaker2OCR.FormJsonSettings","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormJsonSettings.cs","7","5","38","6","0","1","0","0","0","0","0","0","0","0","40","0","10","3","0","0","155","209","0","0","0","0","0","0","0","6","0","1","0","6","0","0","0","8","0","119","0","1","0","0","2","14","0","40","155","209","0","0","0","0","6","0","1","0","6","119","0","1","0","8","0","0","6","0","0","1","0","1","0","0","1","0","4"
"L544","FormWarpWorld","MarioMaker2OCR.FormWarpWorld","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormWarpWorld.cs","13","5","57","6","0","1","0","0","0","0","0","0","0","0","33","0","8","2","0","0","135","185","0","0","0","0","0","0","0","5","0","1","0","5","0","0","0","7","0","95","0","1","0","0","2","12","0","33","135","185","0","0","0","0","5","0","1","0","5","95","0","1","0","12","0","0","4","0","0","0","0","1","0","0","1","0","2"
"L841","StatsTracker","MarioMaker2OCR.StatsTracker","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\StatsTracker.cs","11","5","61","6","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","45","47","0","0","0","0","0","0","0","7","0","7","0","7","0","0","0","2","0","9","0","7","0","0","8","9","0","0","45","51","0","0","0","0","7","0","7","0","7","9","0","7","0","7","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L845","StatsEvent","MarioMaker2OCR.StatsEvent","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\StatsTracker.cs","63","5","67","6","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","4","5","0","2","0","0","0","0","0","0","0","0","0","4","2","0","0","0","1","0","0","4","2","0","1","0","0","0","4","5","0","2","0","0","0","0","0","0","4","0","0","4","2","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L939","DirectShowLibrary","MarioMaker2OCR.DirectShowLibrary","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\DirectShowLibrary.cs","10","5","121","6","0.25","0","0","0","0","0","0","0","0","0","14","0","6","4","0","0","78","112","0","0","0","0","0","0","0","4","0","3","0","4","0","0","0","0","0","41","0","3","0","1","3","4","0","14","78","112","0","0","0","0","4","0","3","0","4","41","0","3","0","11","0","0","3","0","0","1","0","1","0","0","1","0","1"
"L989","FormPreview","MarioMaker2OCR.FormPreview","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\FormPreview.cs","15","5","78","6","0","0","0","0","0","0","0","0","0","0","31","0","8","1","0","0","145","192","0","0","0","0","0","0","0","6","0","4","0","6","0","0","0","0","0","90","0","4","0","0","5","6","0","31","145","192","0","0","0","0","6","0","4","0","6","90","0","4","0","21","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L1186","Form1","MarioMaker2OCR.Form1","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Form1.cs","23","5","520","6","0.333333","21","0","0","0","0","0","0","0","0","126","0","12","4","0","0","749","959","0","1","0","0","0","0","1","41","0","2","1","41","0","0","0","49","0","484","0","2","1","1","2","90","0","126","749","963","0","12","0","12","52","0","13","1","52","484","0","13","1","93","0","0","18","0","0","1","0","1","0","2","4","0","11"
"L1713","ImageLibrary","MarioMaker2OCR.ImageLibrary","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\ImageLibrary.cs","10","5","118","6","0.5","0","0","0","0","0","0","0","0","0","27","0","17","5","0","0","64","109","0","0","0","0","0","0","0","5","0","5","0","5","0","0","0","0","0","45","0","5","0","3","3","5","0","27","64","109","0","0","0","0","5","0","5","0","5","45","0","5","0","12","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2096","OCRLibrary","MarioMaker2OCR.OCRLibrary","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\OCRLibrary.cs","14","5","400","6","0.5","2","0","0","0","0","0","0","0","0","79","0","34","1","0","0","241","387","0","2","0","0","0","0","2","11","0","1","0","11","0","0","0","5","0","140","0","1","0","1","1","16","0","79","241","387","0","2","0","2","11","0","1","0","11","140","0","1","0","31","0","0","1","0","0","1","0","0","0","0","1","0","0"
"L2286","Program","MarioMaker2OCR.Program","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Program.cs","9","5","21","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","10","13","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","3","0","0","0","0","1","2","0","0","10","13","0","0","0","0","1","0","0","0","1","3","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1390","SMMServer","MarioMaker2OCR.SMMServer","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\SMMServer.cs","14","5","98","6","0.5","5","0","0","0","0","0","0","0","0","16","0","14","1","0","0","57","84","0","1","0","0","0","0","1","8","0","7","1","8","0","0","0","5","0","24","0","7","1","4","4","13","0","16","57","85","0","1","0","1","8","0","7","1","8","24","0","7","1","14","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2303","SMMWebSocketServer","MarioMaker2OCR.SMMWebSocketServer","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\SMMServer.cs","100","5","137","6","0","1","0","0","0","0","0","0","0","0","2","0","0","4","0","0","27","38","0","0","0","0","0","0","0","5","0","2","0","5","0","0","0","1","0","6","0","2","0","0","3","6","0","2","27","38","0","0","0","0","5","0","2","0","5","6","0","2","0","6","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L762","VideoProcessor","MarioMaker2OCR.VideoProcessor","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\VideoProcessor.cs","18","5","806","6","0.533333","14","0","0","0","0","0","0","0","0","90","0","62","2","0","0","580","773","0","5","0","0","0","0","5","26","0","14","0","26","0","0","0","10","0","294","0","14","0","8","7","36","0","90","606","789","0","5","0","5","26","0","14","0","26","294","0","14","0","120","0","0","17","0","0","4","0","1","3","1","6","0","6"
"L1215","WarpWorldAPI","MarioMaker2OCR.WarpWorldAPI","L104","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\WarpWorldAPI.cs","13","5","161","6","0.777778","0","0","0","0","0","0","0","0","0","38","0","38","1","0","0","96","149","0","2","0","0","0","0","2","9","0","8","0","9","0","0","0","0","0","43","0","8","0","7","2","9","0","38","96","149","0","2","0","2","9","0","8","0","9","43","0","8","0","14","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L663","DataEventWrapper","MarioMaker2OCR.Objects.DataEventWrapper","L662","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Objects\ClearEventWrapper.cs","9","5","12","6","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","4","0","2","0","0","0","0","1","2","0","2","1","4","1","1","1","0","1","0","0","4","2","0","3","2","0","0","4","4","0","2","0","1","2","0","2","1","4","0","0","4","2","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L672","AbstractTemplate","MarioMaker2OCR.Objects.AbstractTemplate","L662","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Objects\AbstractTemplate.cs","12","5","18","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","4","0","0","0","0","4","4","0","4","0","4","0","2","2","0","0","0","0","4","0","0","5","4","0","0","7","7","0","4","0","4","4","0","4","0","4","0","0","4","0","4","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L684","EventColorTemplate","MarioMaker2OCR.Objects.EventColorTemplate","L662","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Objects\EventColorTemplate.cs","12","5","105","6","0.222222","2","0","0","0","0","0","0","0","0","10","1","8","1","0","0","73","94","0","11","0","0","0","0","7","10","0","8","0","14","1","0","0","0","1","31","0","12","0","2","7","10","0","10","73","94","0","11","0","7","10","0","8","0","14","31","0","12","0","20","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L462","JsonSettings","MarioMaker2OCR.Objects.JsonSettings","L662","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Objects\JsonSettings.cs","9","5","83","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63","75","0","4","0","0","0","0","4","8","0","8","4","8","0","0","0","9","0","24","0","8","4","0","9","17","0","0","63","75","0","4","0","4","8","0","8","4","8","24","0","8","4","12","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1086","EventTemplate","MarioMaker2OCR.Objects.EventTemplate","L662","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Objects\EventTemplate.cs","12","5","123","6","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","101","112","0","13","0","0","0","0","9","14","0","12","0","18","1","0","0","0","1","51","0","16","0","0","13","14","0","0","101","112","0","13","0","9","14","0","12","0","18","51","0","16","0","26","0","0","3","0","0","0","0","0","0","0","1","0","2"
"L664","EventWrapper","MarioMaker2OCR.Objects.EventWrapper","L662","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Objects\EventWrapper.cs","9","5","12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","1","0","0","0","0","1","2","0","2","1","2","0","1","2","0","0","0","0","2","1","0","3","2","0","0","4","4","0","1","0","1","2","0","2","1","2","0","0","2","1","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1161","LevelWrapper","MarioMaker2OCR.Objects.LevelWrapper","L662","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Objects\LevelWrapper.cs","9","5","13","6","0.333333","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","4","5","0","1","0","0","0","0","1","2","0","2","1","2","0","0","0","0","0","0","0","2","1","1","2","2","0","1","4","5","0","1","0","1","2","0","2","1","2","0","0","2","1","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1164","Level","MarioMaker2OCR.Objects.Level","L662","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Objects\Level.cs","9","5","14","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","3","0","0","0","0","3","6","0","6","3","6","0","0","0","0","0","0","0","6","3","0","7","6","0","0","6","6","0","3","0","3","6","0","6","3","6","0","0","6","3","6","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L907","BlackScreenTests","MarioMaker2OCR.Test.BlackScreenTests","L906","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Test\BlackScreenTests.cs","12","5","72","6","0","1","0","0.728778","1","4","0","2","0.721311","0.723404","4","0","0","3","44","34","49","61","0","0","0","0","0","0","0","3","0","3","0","3","0","0","0","1","0","29","0","3","0","0","4","4","0","4","49","61","0","0","0","0","3","0","3","0","3","29","0","3","0","5","0","0","21","0","0","0","19","1","0","0","1","0","0"
"L2372","ClearScreenTests","MarioMaker2OCR.Test.ClearScreenTests","L906","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Test\ClearScreenTests.cs","11","5","113","6","0","2","0","0.514604","1","6","0","2","0.446602","0.461538","6","0","0","4","46","36","80","103","0","0","0","0","0","0","0","4","0","4","0","4","0","0","0","1","0","50","0","4","0","0","5","5","0","6","80","103","0","0","0","0","4","0","4","0","4","50","0","4","0","12","0","0","21","0","0","0","19","1","0","0","1","0","0"
"L2386","GameplayTests","MarioMaker2OCR.Test.GameplayTests","L906","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Test\GameplayTests.cs","16","5","107","6","0","1","0","0","0","0","0","0","0","0","3","0","0","1","0","0","72","76","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","2","0","38","0","1","0","0","2","3","0","3","72","92","0","0","0","0","1","0","1","0","1","38","0","1","0","4","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L2447","LevelScreenTests","MarioMaker2OCR.Test.LevelScreenTests","L906","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Test\LevelScreenTests.cs","13","5","72","6","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","50","60","0","0","0","0","0","0","0","5","0","4","0","5","0","0","0","1","0","20","0","4","0","0","5","6","0","0","50","60","0","0","0","0","5","0","4","0","5","20","0","4","0","10","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L2455","StatsTrackerTests","MarioMaker2OCR.Test.StatsTrackerTests","L906","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Test\StatsTrackerTests.cs","10","5","45","6","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","30","36","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","6","0","16","0","1","0","0","2","7","0","0","30","36","0","0","0","0","1","0","1","0","1","16","0","1","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2465","TemplateTests","MarioMaker2OCR.Test.TemplateTests","L906","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Test\TemplateTests.cs","11","5","345","6","0","1","0","0.108393","1","8","0","2","0.122388","0.128617","3","0","0","1","41","40","313","335","0","0","0","0","0","0","0","16","0","16","0","16","0","0","0","1","0","121","0","16","0","0","17","17","0","3","313","335","0","0","0","0","16","0","16","0","16","121","0","16","0","57","0","0","18","0","0","0","16","0","0","0","1","0","1"
"L2503","WarpWorldAPITests","MarioMaker2OCR.Test.WarpWorldAPITests","L906","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Test\WarpWorldAPITests.cs","12","5","33","6","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","20","20","0","0","0","0","0","0","0","2","0","2","0","2","0","0","0","5","0","4","0","2","0","0","3","7","0","0","20","22","0","0","0","0","2","0","2","0","2","4","0","2","0","2","0","0","2","0","0","0","0","1","0","0","1","0","0"
"L1422","TemplateMatchEventArgs","MarioMaker2OCR.VideoProcessor.TemplateMatchEventArgs","L762","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\VideoProcessor.cs","586","9","591","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1442","LevelScreenEventArgs","MarioMaker2OCR.VideoProcessor.LevelScreenEventArgs","L762","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\VideoProcessor.cs","592","9","595","10","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1433","NewFrameEventArgs","MarioMaker2OCR.VideoProcessor.NewFrameEventArgs","L762","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\VideoProcessor.cs","757","9","760","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2657","BlackScreenEventArgs","MarioMaker2OCR.VideoProcessor.BlackScreenEventArgs","L762","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\VideoProcessor.cs","762","9","765","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1451","ClearScreenEventArgs","MarioMaker2OCR.VideoProcessor.ClearScreenEventArgs","L762","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\VideoProcessor.cs","767","9","774","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L2917","Resources","MarioMaker2OCR.Properties.Resources","L2915","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Properties\Resources.Designer.cs","22","5","62","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","41","0","2","0","0","0","0","2","4","0","0","1","4","0","0","0","0","0","6","0","0","1","0","1","4","0","0","27","41","0","2","0","2","4","0","0","1","4","6","0","0","1","5","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L554","Settings","MarioMaker2OCR.Properties.Settings","L2915","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Properties\Settings.Designer.cs","14","5","181","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","126","168","0","14","0","0","0","0","14","27","0","27","13","27","0","0","0","0","0","27","0","27","13","0","28","27","0","0","126","168","0","14","0","14","27","0","27","13","27","27","0","27","13","27","0","0","8","0","0","0","0","0","0","0","1","0","7"
"L1299","<anonymous type: ? Name, DsDevice Value>","MarioMaker2OCR.Form1.loadVideoDevices()void.<anonymous type: ? Name, DsDevice Value>","L1245","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Form1.cs","85","42","85","95","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","2","2","0","2","0","2","0","0","0","0","0","0","0","2","0","0","3","2","0","0","1","1","0","2","0","2","2","0","2","0","2","0","0","2","0","2","0","0","1","0","0","0","0","0","0","0","1","0","0"
"L1324","<anonymous type: string Name, System.Drawing.Size Value>","MarioMaker2OCR.Form1.loadResolutions()void.<anonymous type: string Name, System.Drawing.Size Value>","L1247","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Form1.cs","98","43","98","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","6","0","0","0","0","6","6","0","6","0","6","0","0","0","0","0","0","0","6","0","0","3","6","0","0","3","3","0","6","0","6","6","0","6","0","6","0","0","6","0","6","0","0","2","0","0","0","0","0","0","0","1","0","1"
"L1793","<anonymous type: string clearTime, bool firstClear, bool worldRecord>","MarioMaker2OCR.Form1.statsCallback(object, MarioMaker2OCR.VideoProcessor.ClearScreenEventArgs)void.<anonymous type: string clearTime, bool firstClear, bool worldRecord>","L1790","L103","D:\DataCollection\repos\dram55_MarioMaker2OCR\MarioMaker2OCR\Form1.cs","498","53","503","14","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","0","3","0","0","0","0","3","3","0","3","0","3","0","0","0","0","0","0","0","3","0","0","4","3","0","0","6","6","0","3","0","3","3","0","3","0","3","0","0","3","0","3","0","0","1","0","0","0","0","0","0","0","1","0","0"
